program,cache-misses-percent,context-switches,instructions-per-cycle,elapsed,user,sys,0-31,32-63,64-127,128-255,256-511,512-1023,1024-2047,2048-4095,4096-8191,8192-16383,16384-32767,32768-65535,65536-131071
add_100000_1,8.798002439615515e-06,416,2.6608293610437443,83.237741079,83.190374,0.015995,20,38,1,1,0,0,0,0,0,0,0,0,0
add_100000_2,7.651755339820903e-06,309,2.6609362995094505,83.224451626,83.186054,0.015998,18,28,0,2,0,0,0,0,0,0,0,0,0
copy_1000_1,0.014810017094679882,24472,0.887861101393855,55.175978044,0.07708,2.892541,7,19,2134,32,4,35,1981,899,1204,157,1,3,5
copy_1000_2,0.01505045947006182,24329,0.8861029518874667,55.81747847,0.062601,2.892208,2,8,2179,100,17,41,2020,844,1289,173,0,3,2
fib_naive_45_1,3.384818226670656e-05,258,1.64083693894393,42.605961367,42.576546,0.003999,6,13,6,6,1,0,0,0,0,0,0,0,0
fib_naive_45_2,2.020108761181029e-05,124,1.641088131311836,42.585264397,42.566474,0.007998,17,21,6,24,2,1,0,0,0,0,0,0,0
fib_mem_100000000_1,8.976764084304686e-06,286,1.7416014875557946,68.822226211,68.773791,0.019998,15,26,3,0,0,0,0,0,0,0,0,0,0
fib_mem_100000000_2,1.7698432565130483e-05,91,1.7427351982813906,68.741370398,68.733193,0.0,2,0,3,3,0,0,0,0,0,0,0,0,0
disk_write_1000000_1,0.005555053520121281,78,1.0991417973480568,42.031639613,11.420623,30.586955,7,10,3,1,1,2,0,2,0,0,0,0,0
disk_write_1000000_2,0.005063037970230983,377,1.096551984631684,42.166823017,11.356868,30.763516,15,48,15,25,1,2,4,1,0,0,0,0,0
prime_naive_20000000_1,2.3330269572311612e-05,169,1.6894999814243856,74.399331142,74.37521,0.008,41,33,1,0,0,0,0,0,0,0,0,0,0
prime_naive_20000000_2,1.843104016413185e-05,50,1.6895282420788658,74.389897183,74.384602,0.0,42,28,3,0,0,0,0,0,0,0,0,0,0
prime_sieve_500000000_1,0.021830970477756256,209,0.6813638553850578,65.586779335,64.1131,1.439845,2,1,4,0,0,0,0,0,0,0,0,0,0
prime_sieve_500000000_2,0.021883068450713614,174,0.6900320054045586,64.740397462,63.347333,1.375811,0,6,0,0,1,0,0,0,0,0,0,0,0
